IP,Name,Sources
2620:fe::9,Quad9 (block malware + DNSSEC),https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2620:fe::10,Quad9 (unfiltered),https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2620:fe::fe,Quad9 (block malware + DNSSEC),https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2620:fe::fe:10,Quad9 (unfiltered),https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2620:119:35::35,OpenDNS,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2620:119:53::53,OpenDNS,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2a02:6b8::feed:0ff,Yandex DNS Basic,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2a02:6b8::feed:a11,Yandex DNS Family (block malware + adult content),https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2a02:6b8::feed:bad,Yandex DNS Safe (block malware + fraud),https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2a02:6b8:0:1::feed:0ff,Yandex DNS Basic,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2a02:6b8:0:1::feed:a11,Yandex DNS Family (block malware + adult content),https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2a02:6b8:0:1::feed:bad,Yandex DNS Safe (block malware + fraud),https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2a0d:2a00:1::,CleanBrowsing Security Filter,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2a0d:2a00:1::1,CleanBrowsing Adult Filter,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2a0d:2a00:1::2,CleanBrowsing Family Filter,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2a0d:2a00:2::,CleanBrowsing Security Filter,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2a0d:2a00:2::1,CleanBrowsing Adult Filter,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2a0d:2a00:2::2,CleanBrowsing Family Filter,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2a10:50c0::1:ff,AdGuard DNS Non-filtering,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2a10:50c0::2:ff,AdGuard DNS Non-filtering,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2a10:50c0::ad1:ff,AdGuard DNS (block ads + trackers),https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2a10:50c0::ad2:ff,AdGuard DNS (block ads + trackers),https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2a10:50c0::bad1:ff,AdGuard DNS Family (block ads + trackers + adult content),https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
2a10:50c0::bad2:ff,AdGuard DNS Family (block ads + trackers + adult content),https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
